step_originalData, cross_entropy_originalData, loss_originalData, train_accuracy_originalData,step_rotate90, cross_entropy_rotate90, loss_rotate90, train_accuracy_rotate90,step_rotate90transpose, cross_entropy_rotate90transpose, loss_rotate90transpose, train_accuracy_rotate90transpose,step_rotate180, cross_entropy_rotate180, loss_rotate180, train_accuracy_rotate180,step_rotate180transpose, cross_entropy_rotate180transpose, loss_rotate180transpose, train_accuracy_rotate180transpose,step_rotate270, cross_entropy_rotate270, loss_rotate270, train_accuracy_rotate270,step_rotate270transpose, cross_entropy_rotate270transpose, loss_rotate270transpose, train_accuracy_rotate270transpose,step_transpose, cross_entropy_transpose, loss_transpose, train_accuracy_transpose
3288,0.00226196,0.214222,1.0,3288,0.00188769,0.213277,1.0,3288,0.00170547,0.2135,1.0,3288,0.00204405,0.215848,1.0,3288,0.00285171,0.216308,1.0,3288,0.00251669,0.215101,1.0,3288,0.00255594,0.215451,1.0,3288,0.00271598,0.215552,1.0
3388,0.00240366,0.213589,1.0,3388,0.00375846,0.214368,1.0,3388,0.00302828,0.21404,1.0,3388,0.00297552,0.216001,1.0,3388,0.0022347,0.214913,1.0,3388,0.00323906,0.215044,1.0,3388,0.00297642,0.215093,1.0,3388,0.00302495,0.215084,1.0
3431,0.00188815,0.212746,1.0,3431,0.00214807,0.212431,1.0,3431,0.002071,0.212754,1.0,3431,0.00231323,0.21501,1.0,3431,0.00211922,0.214468,1.0,3431,0.0022733,0.213749,1.0,3431,0.00203336,0.213821,1.0,3431,0.00204474,0.213776,1.0
3531,0.00244253,0.213223,1.0,3531,0.00164499,0.21185,1.0,3531,0.00183447,0.212439,1.0,3531,0.00254485,0.215164,1.0,3531,0.00322338,0.215495,1.0,3531,0.00209321,0.213491,1.0,3531,0.00321925,0.214929,1.0,3531,0.00265472,0.214308,1.0
3631,0.00193432,0.212637,1.0,3631,0.00190356,0.212031,1.0,3631,0.00154914,0.212075,1.0,3631,0.00184605,0.214387,1.0,3631,0.002108,0.214301,1.0,3631,0.00219633,0.213516,1.0,3631,0.00209421,0.213726,1.0,3631,0.00229114,0.213866,1.0
3731,0.0023025,0.212927,1.0,3731,0.00325932,0.213308,1.0,3731,0.00265211,0.2131,1.0,3731,0.0026375,0.2151,1.0,3731,0.00207712,0.214192,1.0,3731,0.00266072,0.213902,1.0,3731,0.00270546,0.21426,1.0,3731,0.00242886,0.213926,1.0
3774,0.00189946,0.212491,1.0,3774,0.00206777,0.212083,1.0,3774,0.00201562,0.21243,1.0,3774,0.00225452,0.214684,1.0,3774,0.00216664,0.214248,1.0,3774,0.00215439,0.213362,1.0,3774,0.00199508,0.213515,1.0,3774,0.0019926,0.213456,1.0
3874,0.00231758,0.212831,1.0,3874,0.00163623,0.211574,1.0,3874,0.0017798,0.212116,1.0,3874,0.00251513,0.214866,1.0,3874,0.0030183,0.215022,1.0,3874,0.00206579,0.213195,1.0,3874,0.00293946,0.214382,1.0,3874,0.00244365,0.213829,1.0
3974,0.0019313,0.212367,1.0,3974,0.0018914,0.211751,1.0,3974,0.00153849,0.211797,1.0,3974,0.00183865,0.214112,1.0,3974,0.00212621,0.214052,1.0,3974,0.00217451,0.213226,1.0,3974,0.00209486,0.213459,1.0,3974,0.00225809,0.213566,1.0
4074,0.00228208,0.21264,1.0,4074,0.00326156,0.213044,1.0,4074,0.00266222,0.212842,1.0,4074,0.00260318,0.214798,1.0,4074,0.00208008,0.213928,1.0,4074,0.00266072,0.213634,1.0,4074,0.00271378,0.214,1.0,4074,0.00243938,0.213669,1.0
4117,0.00189038,0.212215,1.0,4117,0.00203181,0.21178,1.0,4117,0.00198511,0.212131,1.0,4117,0.00223105,0.214392,1.0,4117,0.00216318,0.213977,1.0,4117,0.00211765,0.213057,1.0,4117,0.00196082,0.213214,1.0,4117,0.00197975,0.213176,1.0
4217,0.00226093,0.212508,1.0,4217,0.00162186,0.211293,1.0,4217,0.00175329,0.211821,1.0,4217,0.00248226,0.214566,1.0,4217,0.00293078,0.214667,1.0,4217,0.00204428,0.212906,1.0,4217,0.00285625,0.214031,1.0,4217,0.00235657,0.213475,1.0
4317,0.00192154,0.212091,1.0,4317,0.00187499,0.211468,1.0,4317,0.00152783,0.211518,1.0,4317,0.00182443,0.21383,1.0,4317,0.00212385,0.213782,1.0,4317,0.00215146,0.212935,1.0,4317,0.00208451,0.213182,1.0,4317,0.0022327,0.213273,1.0
4417,0.00226711,0.212359,1.0,4417,0.00325122,0.212767,1.0,4417,0.00265756,0.212569,1.0,4417,0.00258057,0.214508,1.0,4417,0.00207388,0.213654,1.0,4417,0.00265275,0.213358,1.0,4417,0.00270538,0.213724,1.0,4417,0.00243577,0.213399,1.0
4460,0.00187533,0.211934,1.0,4460,0.00200673,0.211489,1.0,4460,0.00196365,0.211842,1.0,4460,0.00220425,0.214098,1.0,4460,0.00214657,0.213693,1.0,4460,0.00209349,0.212766,1.0,4460,0.00193531,0.212921,1.0,4460,0.00196592,0.212895,1.0
4560,0.00222463,0.212206,1.0,4560,0.00160857,0.211013,1.0,4560,0.00173593,0.211536,1.0,4560,0.00245311,0.214269,1.0,4560,0.00287135,0.21434,1.0,4560,0.00202445,0.212619,1.0,4560,0.00280556,0.213713,1.0,4560,0.00230501,0.213157,1.0
4660,0.00191069,0.211814,1.0,4660,0.00185996,0.211187,1.0,4660,0.00151757,0.21124,1.0,4660,0.00181013,0.213548,1.0,4660,0.00211448,0.213506,1.0,4660,0.00213016,0.212646,1.0,4660,0.0020715,0.212901,1.0,4660,0.00221023,0.212984,1.0
4760,0.00225135,0.212077,1.0,4760,0.00323735,0.212486,1.0,4760,0.00264676,0.212291,1.0,4760,0.00256063,0.21422,1.0,4760,0.00206344,0.213377,1.0,4760,0.00264177,0.21308,1.0,4760,0.00269066,0.213442,1.0,4760,0.00242573,0.213122,1.0
4803,0.00185994,0.211652,1.0,4803,0.00198621,0.211202,1.0,4803,0.00194693,0.211558,1.0,4803,0.00217804,0.213804,1.0,4803,0.00212741,0.213407,1.0,4803,0.00207349,0.212478,1.0,4803,0.00191344,0.212632,1.0,4803,0.00195173,0.212614,1.0
4903,0.00219551,0.21191,1.0,4903,0.00159653,0.210735,1.0,4903,0.00172212,0.211255,1.0,4903,0.00242772,0.213976,1.0,4903,0.00282419,0.214026,1.0,4903,0.00200622,0.212333,1.0,4903,0.00276576,0.213406,1.0,4903,0.00226833,0.212853,1.0
5003,0.00189852,0.211536,1.0,5003,0.00184607,0.210907,1.0,5003,0.00150803,0.210963,1.0,5003,0.00179608,0.213267,1.0,5003,0.00210169,0.213226,1.0,5003,0.00211019,0.212359,1.0,5003,0.00205808,0.212621,1.0,5003,0.00218827,0.212695,1.0
5103,0.00223524,0.211795,1.0,5103,0.00322055,0.212203,1.0,5103,0.00263341,0.21201,1.0,5103,0.00254104,0.213934,1.0,5103,0.00205109,0.213097,1.0,5103,0.0026288,0.2128,1.0,5103,0.00267299,0.213158,1.0,5103,0.00241338,0.212843,1.0
