step_org_150MR1bgr, cross_entropy_org_150MR1bgr, loss_org_150MR1bgr, train_accuracy_org_150MR1bgr,step_org_150MR1brg, cross_entropy_org_150MR1brg, loss_org_150MR1brg, train_accuracy_org_150MR1brg,step_org_150MR1gbr, cross_entropy_org_150MR1gbr, loss_org_150MR1gbr, train_accuracy_org_150MR1gbr,step_org_150MR1grb, cross_entropy_org_150MR1grb, loss_org_150MR1grb, train_accuracy_org_150MR1grb,step_org_150MR1rbg, cross_entropy_org_150MR1rbg, loss_org_150MR1rbg, train_accuracy_org_150MR1rbg,step_org_150MR1rgb, cross_entropy_org_150MR1rgb, loss_org_150MR1rgb, train_accuracy_org_150MR1rgb
3861,0.133655,0.343359,0.957031,3861,0.0812968,0.293828,0.980469,3861,0.0584743,0.27118,0.96875,3861,0.0672889,0.277731,0.964844,3861,0.0767319,0.288657,0.976563,3861,0.0192405,0.231827,0.972656
3961,0.144945,0.354745,0.958333,3961,0.131614,0.342919,0.976563,3961,0.0424092,0.255659,0.976563,3961,0.0660724,0.275589,0.971354,3961,0.0915253,0.302582,0.971354,3961,0.0893001,0.300835,0.971354
4061,0.0285043,0.238189,0.966797,4061,0.0436518,0.254749,0.980469,4061,0.0647524,0.276937,0.978516,4061,0.0804425,0.289332,0.974609,4061,0.0880448,0.29947,0.96875,4061,0.0695572,0.280369,0.972656
4161,0.0908162,0.30043,0.96875,4161,0.0797666,0.291419,0.976563,4161,0.0810432,0.29367,0.976563,4161,0.106135,0.316475,0.970312,4161,0.119012,0.329653,0.970312,4161,0.0755989,0.287536,0.971875
4231,0.092329,0.301293,0.96875,4231,0.05999,0.271524,0.976563,4231,0.0955377,0.30711,0.96875,4231,0.0868509,0.296595,0.96875,4231,0.175329,0.38683,0.929688,4231,0.070912,0.28262,0.976563
4331,0.089998,0.299014,0.96875,4331,0.0314534,0.242921,0.984375,4331,0.072668,0.28398,0.96875,4331,0.039973,0.249289,0.976563,4331,0.0424725,0.25373,0.957031,4331,0.0154453,0.226103,0.988281
4431,0.117653,0.326645,0.966146,4431,0.0643302,0.274178,0.986979,4431,0.0627379,0.272935,0.971354,4431,0.07651,0.284188,0.976563,4431,0.0329944,0.242375,0.966146,4431,0.110941,0.320484,0.984375
4531,0.0751622,0.282679,0.96875,4531,0.0301901,0.240257,0.990234,4531,0.0330709,0.242326,0.976563,4531,0.0668765,0.274517,0.978516,4531,0.0781053,0.286999,0.964844,4531,0.140983,0.350649,0.978516
4631,0.0847141,0.292576,0.967188,4631,0.0690052,0.27909,0.984375,4631,0.0254841,0.234768,0.98125,4631,0.0500755,0.257812,0.979688,4631,0.0756117,0.284923,0.965625,4631,0.0880968,0.298381,0.979688
4701,0.127797,0.335136,0.9375,4701,0.093476,0.304234,0.96875,4701,0.143494,0.352687,0.953125,4701,0.0858898,0.293125,0.976563,4701,0.1203,0.328318,0.96875,4701,0.0348978,0.244688,0.984375
4801,0.0143571,0.22104,0.96875,4801,0.00999051,0.220086,0.984375,4801,0.00654906,0.215096,0.976563,4801,0.0106638,0.217262,0.984375,4801,0.00904946,0.21639,0.984375,4801,0.0169004,0.226023,0.992188
4901,0.04027,0.246225,0.973958,4901,0.0369075,0.246272,0.986979,4901,0.0197775,0.227596,0.984375,4901,0.0494839,0.25536,0.986979,4901,0.0298865,0.236488,0.986979,4901,0.0169286,0.225319,0.992188
5001,0.0160389,0.221271,0.980469,5001,0.0155297,0.224156,0.988281,5001,0.00316685,0.210246,0.988281,5001,0.00542502,0.210578,0.990234,5001,0.00416574,0.210021,0.990234,5001,0.00551397,0.213165,0.994141
