step_mut30_150MR1bgr, cross_entropy_mut30_150MR1bgr, loss_mut30_150MR1bgr, train_accuracy_mut30_150MR1bgr,step_mut30_150MR1brg, cross_entropy_mut30_150MR1brg, loss_mut30_150MR1brg, train_accuracy_mut30_150MR1brg,step_mut30_150MR1gbr, cross_entropy_mut30_150MR1gbr, loss_mut30_150MR1gbr, train_accuracy_mut30_150MR1gbr,step_mut30_150MR1grb, cross_entropy_mut30_150MR1grb, loss_mut30_150MR1grb, train_accuracy_mut30_150MR1grb,step_mut30_150MR1rbg, cross_entropy_mut30_150MR1rbg, loss_mut30_150MR1rbg, train_accuracy_mut30_150MR1rbg,step_mut30_150MR1rgb, cross_entropy_mut30_150MR1rgb, loss_mut30_150MR1rgb, train_accuracy_mut30_150MR1rgb
3538,0.0660691,0.0660691,0.984375,3538,0.195587,0.195587,0.953125,3538,0.0227238,0.0227239,1.0,3538,0.0487708,0.0487709,0.976563,3538,0.0620364,0.0620364,0.96875,3538,0.169852,0.169852,0.9375
3638,0.141552,0.141552,0.96875,3638,0.077115,0.0771151,0.957031,3638,0.0549638,0.0549638,0.992188,3638,0.0670865,0.0670866,0.972656,3638,0.148787,0.148787,0.949219,3638,0.151215,0.151215,0.933594
3738,0.0830745,0.0830746,0.973958,3738,0.0770953,0.0770954,0.963542,3738,0.0840138,0.0840138,0.986979,3738,0.0324251,0.0324252,0.979167,3738,0.0621297,0.0621298,0.963542,3738,0.0776919,0.0776919,0.947917
3838,0.0822245,0.0822246,0.974609,3838,0.0770378,0.0770378,0.962891,3838,0.143653,0.143653,0.980469,3838,0.0617802,0.0617802,0.976563,3838,0.0670135,0.0670136,0.962891,3838,0.0909587,0.0909588,0.957031
3931,0.0578241,0.0578242,0.976563,3931,0.0362692,0.0362693,0.984375,3931,0.0285356,0.0285356,0.992188,3931,0.1067,0.1067,0.960938,3931,0.0394628,0.0394629,0.984375,3931,0.0326597,0.0326598,0.992188
4031,0.0328443,0.0328444,0.984375,4031,0.0411298,0.0411299,0.988281,4031,0.0367879,0.0367879,0.992188,4031,0.00757911,0.00757917,0.980469,4031,0.0231916,0.0231917,0.988281,4031,0.0159934,0.0159935,0.992188
4131,0.00724955,0.00724961,0.989583,4131,0.0348001,0.0348002,0.986979,4131,0.00819282,0.00819288,0.994792,4131,0.00416537,0.00416544,0.986979,4131,0.0105922,0.0105923,0.992188,4131,0.0164972,0.0164972,0.992188
4231,0.00836732,0.00836738,0.992188,4231,0.0220451,0.0220451,0.986328,4231,0.00708997,0.00709004,0.996094,4231,0.00412698,0.00412704,0.990234,4231,0.0169841,0.0169842,0.992188,4231,0.00805063,0.00805069,0.994141
4324,0.0160446,0.0160447,0.992188,4324,0.00775381,0.00775388,1.0,4324,0.00636702,0.00636709,1.0,4324,0.00353727,0.00353733,1.0,4324,0.00304893,0.00304899,1.0,4324,0.00899596,0.00899602,1.0
4424,0.0138753,0.0138753,0.992188,4424,0.030532,0.030532,0.996094,4424,0.023597,0.0235971,0.996094,4424,0.00482046,0.00482052,1.0,4424,0.00769512,0.00769519,1.0,4424,0.00589861,0.00589867,1.0
4524,0.00305669,0.00305675,0.994792,4524,0.0107678,0.0107679,0.997396,4524,0.00274776,0.00274783,0.997396,4524,0.00174687,0.00174694,1.0,4524,0.00534965,0.00534971,1.0,4524,0.00698656,0.00698663,1.0
4624,0.00336912,0.00336918,0.996094,4624,0.0114896,0.0114897,0.998047,4624,0.002397,0.00239706,0.998047,4624,0.0031039,0.00310396,1.0,4624,0.00698713,0.00698719,1.0,4624,0.00384664,0.0038467,1.0
4717,0.00480874,0.0048088,1.0,4717,0.00409246,0.00409252,1.0,4717,0.00276974,0.00276981,1.0,4717,0.00244671,0.00244677,1.0,4717,0.00234526,0.00234533,1.0,4717,0.00372555,0.00372562,1.0
4817,0.00894886,0.00894892,1.0,4817,0.0177243,0.0177244,0.996094,4817,0.0135361,0.0135362,0.996094,4817,0.00380126,0.00380133,1.0,4817,0.00515674,0.0051568,1.0,4817,0.00335647,0.00335653,1.0
4917,0.00207455,0.00207461,1.0,4917,0.00535997,0.00536003,0.997396,4917,0.00195885,0.00195891,0.997396,4917,0.00130533,0.00130539,1.0,4917,0.00411298,0.00411305,1.0,4917,0.0047504,0.00475046,1.0
5017,0.00225575,0.00225582,1.0,5017,0.00791289,0.00791295,0.998047,5017,0.00160138,0.00160145,0.998047,5017,0.00234321,0.00234327,1.0,5017,0.00425858,0.00425865,1.0,5017,0.00293699,0.00293705,1.0
5110,0.00317725,0.00317731,1.0,5110,0.00291072,0.00291079,1.0,5110,0.00209493,0.002095,1.0,5110,0.00195081,0.00195087,1.0,5110,0.00184326,0.00184333,1.0,5110,0.00280507,0.00280514,1.0
5210,0.00650621,0.00650627,1.0,5210,0.00915081,0.00915087,1.0,5210,0.00785391,0.00785397,1.0,5210,0.0031231,0.00312317,1.0,5210,0.00401809,0.00401815,1.0,5210,0.00250861,0.00250867,1.0
5310,0.00163624,0.0016363,1.0,5310,0.00378755,0.00378762,1.0,5310,0.00155557,0.00155563,1.0,5310,0.0011091,0.00110916,1.0,5310,0.00335064,0.0033507,1.0,5310,0.00366354,0.0036636,1.0
5410,0.00174627,0.00174634,1.0,5410,0.00584042,0.00584048,1.0,5410,0.00123188,0.00123194,1.0,5410,0.00190831,0.00190838,1.0,5410,0.00312477,0.00312484,1.0,5410,0.00244213,0.00244219,1.0
5503,0.00250172,0.00250178,1.0,5503,0.00229061,0.00229068,1.0,5503,0.00172232,0.00172238,1.0,5503,0.00163574,0.00163581,1.0,5503,0.00153461,0.00153467,1.0,5503,0.00233834,0.00233841,1.0
5603,0.00497997,0.00498003,1.0,5603,0.00544606,0.00544612,1.0,5603,0.00523552,0.00523558,1.0,5603,0.00263629,0.00263635,1.0,5603,0.00335498,0.00335504,1.0,5603,0.0020119,0.00201196,1.0
5703,0.00136143,0.00136149,1.0,5703,0.00300003,0.00300009,1.0,5703,0.00130497,0.00130503,1.0,5703,0.000977972,0.000978036,1.0,5703,0.00282996,0.00283002,1.0,5703,0.0030123,0.00301236,1.0
5803,0.00142845,0.00142851,1.0,5803,0.00456989,0.00456995,1.0,5803,0.00101751,0.00101758,1.0,5803,0.00161861,0.00161868,1.0,5803,0.00245654,0.00245661,1.0,5803,0.00210135,0.00210141,1.0
