step_BGR, cross_entropy_BGR, loss_BGR, train_accuracy_BGR,step_BRG, cross_entropy_BRG, loss_BRG, train_accuracy_BRG,step_GRB, cross_entropy_GRB, loss_GRB, train_accuracy_GRB,step_GBR, cross_entropy_GBR, loss_GBR, train_accuracy_GBR,step_RBG, cross_entropy_RBG, loss_RBG, train_accuracy_RBG,step_RGB, cross_entropy_RGB, loss_RGB, train_accuracy_RGB
3738,1.64535,1.92548,0.453125,3738,1.21878,1.49959,0.523438,3738,1.87857,2.15828,0.359375,3738,1.867,2.14651,0.369792,3738,1.70755,1.98737,0.429688,3738,1.61363,1.894,0.427083
3838,1.59808,1.87812,0.466797,3838,1.3332,1.61395,0.533203,3838,1.88821,2.16779,0.363281,3838,1.88624,2.16561,0.371094,3838,1.68448,1.9642,0.445313,3838,1.56992,1.85018,0.445313
3931,1.49991,1.7799,0.460938,3931,1.2511,1.53185,0.5,3931,1.95377,2.23324,0.359375,3931,1.91131,2.19058,0.351563,3931,1.67155,1.95121,0.429688,3931,1.5272,1.80739,0.4375
4031,1.48538,1.7653,0.457031,4031,1.28186,1.56257,0.519531,4031,1.83967,2.11902,0.355469,4031,1.83024,2.10941,0.363281,4031,1.60089,1.88045,0.453125,4031,1.52439,1.8045,0.453125
4131,1.41939,1.69926,0.479167,4131,1.16154,1.44223,0.544271,4131,1.85953,2.13877,0.364583,4131,1.72553,2.00461,0.372396,4131,1.6622,1.94169,0.453125,4131,1.56689,1.84693,0.453125
4231,1.43294,1.71272,0.496094,4231,1.33043,1.61107,0.544922,4231,1.8603,2.13942,0.367188,4231,1.7396,2.01857,0.388672,4231,1.63057,1.90998,0.466797,4231,1.54831,1.82825,0.470703
4324,1.39053,1.67026,0.523438,4324,1.20633,1.48697,0.546875,4324,1.92454,2.20355,0.367188,4324,1.71662,1.99551,0.375,4324,1.62533,1.90467,0.453125,4324,1.50764,1.78752,0.445313
4424,1.40475,1.68443,0.507813,4424,1.22328,1.50389,0.535156,4424,1.80982,2.08871,0.367188,4424,1.76765,2.04644,0.386719,4424,1.55617,1.83544,0.484375,4424,1.47975,1.75956,0.460938
4524,1.34486,1.62448,0.526042,4524,1.1033,1.38389,0.559896,4524,1.84053,2.11932,0.364583,4524,1.68679,1.96548,0.398438,4524,1.61935,1.89855,0.481771,4524,1.53173,1.81147,0.460938
4624,1.37474,1.6543,0.546875,4624,1.25067,1.53123,0.564453,4624,1.84099,2.11966,0.367188,4624,1.69218,1.97077,0.40625,4624,1.59785,1.87698,0.488281,4624,1.5216,1.80125,0.476563
4717,1.34837,1.62788,0.539063,4717,1.15359,1.43414,0.554688,4717,1.89117,2.16974,0.382813,4717,1.66555,1.94406,0.429688,4717,1.56815,1.84722,0.5,4717,1.46843,1.74802,0.476563
4817,1.36075,1.64021,0.523438,4817,1.17639,1.45693,0.554688,4817,1.77861,2.05707,0.382813,4817,1.73644,2.01486,0.421875,4817,1.43675,1.71577,0.511719,4817,1.44288,1.72241,0.480469
4917,1.29153,1.57095,0.554688,4917,1.05405,1.33458,0.575521,4917,1.82037,2.09874,0.377604,4917,1.66924,1.94757,0.432292,4917,1.37598,1.65494,0.520833,4917,1.49757,1.77705,0.486979
5017,1.33597,1.61532,0.572266,5017,1.18652,1.46701,0.578125,5017,1.82338,2.10163,0.376953,5017,1.65691,1.93514,0.435547,5017,1.4584,1.73732,0.533203,5017,1.50658,1.78597,0.5
5110,1.31036,1.58968,0.539063,5110,1.08856,1.36906,0.570313,5110,1.85244,2.13059,0.398438,5110,1.54794,1.82611,0.445313,5110,1.28504,1.56393,0.546875,5110,1.43229,1.71163,0.492188
5210,1.31621,1.59548,0.535156,5210,1.15177,1.43225,0.582031,5210,1.75576,2.03382,0.394531,5210,1.61602,1.89411,0.449219,5210,1.34317,1.62201,0.539063,5210,1.40979,1.68907,0.492188
5310,1.25853,1.53778,0.554688,5310,1.01042,1.2909,0.598958,5310,1.80417,2.08213,0.388021,5310,1.50764,1.78566,0.460938,5310,1.28758,1.56638,0.546875,5310,1.45554,1.73478,0.489583
5410,1.29214,1.57133,0.568359,5410,1.12954,1.40999,0.599609,5410,1.81915,2.097,0.380859,5410,1.50955,1.78751,0.474609,5410,1.43576,1.71451,0.554688,5410,1.4849,1.76406,0.5
5503,1.2779,1.55706,0.539063,5503,1.03006,1.31053,0.601563,5503,1.8192,2.09696,0.40625,5503,1.41355,1.69146,0.523438,5503,1.22185,1.50059,0.578125,5503,1.39781,1.67693,0.507813
5603,1.28679,1.56592,0.53125,5603,1.12142,1.40189,0.609375,5603,1.7322,2.00986,0.402344,5603,1.60813,1.88598,0.480469,5603,1.29854,1.57724,0.566406,5603,1.3781,1.65716,0.503906
5703,1.23512,1.51422,0.554688,5703,0.970337,1.25081,0.625,5703,1.79076,2.06833,0.395833,5703,1.46289,1.74068,0.489583,5703,1.22708,1.50575,0.575521,5703,1.42066,1.69968,0.502604
5803,1.26225,1.54131,0.578125,5803,1.07604,1.35649,0.625,5803,1.80759,2.08506,0.390625,5803,1.46896,1.74669,0.505859,5803,1.39805,1.67667,0.580078,5803,1.46364,1.7426,0.511719
