step_originalData, cross_entropy_originalData, loss_originalData, train_accuracy_originalData,step_rotate90, cross_entropy_rotate90, loss_rotate90, train_accuracy_rotate90,step_rotate90transpose, cross_entropy_rotate90transpose, loss_rotate90transpose, train_accuracy_rotate90transpose,step_rotate180, cross_entropy_rotate180, loss_rotate180, train_accuracy_rotate180,step_rotate180transpose, cross_entropy_rotate180transpose, loss_rotate180transpose, train_accuracy_rotate180transpose,step_rotate270, cross_entropy_rotate270, loss_rotate270, train_accuracy_rotate270,step_rotate270transpose, cross_entropy_rotate270transpose, loss_rotate270transpose, train_accuracy_rotate270transpose,step_transpose, cross_entropy_transpose, loss_transpose, train_accuracy_transpose
2821,0.174136,0.389889,0.953125,2821,0.141146,0.363298,0.960938,2821,0.161805,0.375816,0.953125,2821,0.148869,0.363318,0.960938,2821,0.156001,0.379501,0.953125,2821,0.138145,0.360071,0.960938,2821,0.159886,0.375102,0.960938,2821,0.158742,0.37842,0.96875
2921,0.0404966,0.255831,0.96875,2921,0.114743,0.337302,0.960938,2921,0.0362017,0.250082,0.972656,2921,0.0806516,0.295943,0.964844,2921,0.128829,0.352883,0.957031,2921,0.101028,0.322209,0.96875,2921,0.0765743,0.291342,0.960938,2921,0.10246,0.322545,0.960938
3021,0.14602,0.361184,0.966146,3021,0.177796,0.401166,0.960938,3021,0.187917,0.401353,0.963542,3021,0.0829601,0.298066,0.973958,3021,0.0626614,0.286271,0.963542,3021,0.114548,0.336321,0.963542,3021,0.0928736,0.307562,0.963542,3021,0.0915179,0.311255,0.963542
3121,0.0779275,0.292485,0.970703,3121,0.0470875,0.270389,0.96875,3121,0.189362,0.402471,0.957031,3121,0.143633,0.358354,0.966797,3121,0.128591,0.352546,0.966797,3121,0.094331,0.316344,0.962891,3121,0.0884273,0.302386,0.962891,3121,0.149477,0.369979,0.960938
3221,0.15773,0.37196,0.970312,3221,0.114121,0.338374,0.965625,3221,0.11128,0.325515,0.957812,3221,0.0673255,0.282174,0.971875,3221,0.066463,0.289887,0.970312,3221,0.148885,0.371435,0.959375,3221,0.0831987,0.29767,0.964063,3221,0.0729872,0.293012,0.964063
3291,0.137866,0.352026,0.960938,3291,0.173799,0.397983,0.960938,3291,0.116938,0.330445,0.976563,3291,0.0948979,0.309434,0.96875,3291,0.0801152,0.303149,0.984375,3291,0.147257,0.369116,0.945313,3291,0.192449,0.406259,0.9375,3291,0.0995187,0.31979,0.976563
3391,0.0547671,0.269368,0.976563,3391,0.0526484,0.276872,0.96875,3391,0.0911766,0.304514,0.972656,3391,0.101099,0.315218,0.972656,3391,0.0585285,0.282213,0.980469,3391,0.0491482,0.270613,0.972656,3391,0.0644347,0.277948,0.953125,3391,0.0994475,0.32,0.972656
3491,0.0829422,0.296665,0.976563,3491,0.088948,0.313591,0.971354,3491,0.13056,0.343351,0.966146,3491,0.0745714,0.288243,0.971354,3491,0.0730922,0.296801,0.979167,3491,0.181305,0.40318,0.966146,3491,0.0881578,0.302215,0.955729,3491,0.0642591,0.285546,0.971354
3591,0.112116,0.324301,0.976563,3591,0.0818431,0.307353,0.970703,3591,0.0921935,0.305831,0.966797,3591,0.133296,0.346416,0.966797,3591,0.145841,0.369105,0.970703,3591,0.0902514,0.312548,0.966797,3591,0.161301,0.374201,0.949219,3591,0.0908722,0.311085,0.974609
3691,0.0963932,0.307647,0.973437,3691,0.0573962,0.282071,0.975,3691,0.0667809,0.278902,0.967188,3691,0.0624994,0.275959,0.970312,3691,0.105828,0.328534,0.96875,3691,0.0470192,0.268776,0.971875,3691,0.0998012,0.31285,0.951563,3691,0.127678,0.348722,0.970312
3761,0.17361,0.385208,0.945313,3761,0.109673,0.333606,0.960938,3761,0.13647,0.34811,0.9375,3761,0.0723666,0.285618,0.984375,3761,0.177767,0.400919,0.960938,3761,0.13424,0.355809,0.9375,3761,0.080195,0.293495,0.976563,3761,0.12641,0.347552,0.96875
3861,0.0192405,0.231827,0.972656,3861,0.043958,0.268017,0.972656,3861,0.0601759,0.272064,0.957031,3861,0.0702656,0.283074,0.984375,3861,0.133626,0.356641,0.957031,3861,0.0680339,0.290975,0.957031,3861,0.0990241,0.312409,0.980469,3861,0.0682626,0.29002,0.976563
3961,0.0893001,0.300835,0.971354,3961,0.0645758,0.287816,0.971354,3961,0.0595171,0.270381,0.96875,3961,0.120237,0.332373,0.976563,3961,0.0891979,0.3117,0.955729,3961,0.0709095,0.293487,0.960938,3961,0.0535851,0.266671,0.981771,3961,0.0532526,0.273733,0.981771
4061,0.0695572,0.280369,0.972656,4061,0.109698,0.333154,0.972656,4061,0.0984728,0.309432,0.966797,4061,0.11658,0.328171,0.970703,4061,0.0900078,0.312767,0.960938,4061,0.0775771,0.299788,0.962891,4061,0.0421324,0.254826,0.984375,4061,0.0997789,0.320443,0.980469
4161,0.0755989,0.287536,0.971875,4161,0.0754352,0.298928,0.973437,4161,0.08532,0.296693,0.967188,4161,0.134993,0.347048,0.970312,4161,0.0598265,0.282175,0.964063,4161,0.105168,0.327884,0.965625,4161,0.0807238,0.293914,0.98125,4161,0.101545,0.322361,0.976563
