step_org_150MR1bgr, cross_entropy_org_150MR1bgr, loss_org_150MR1bgr, train_accuracy_org_150MR1bgr,step_org_150MR1brg, cross_entropy_org_150MR1brg, loss_org_150MR1brg, train_accuracy_org_150MR1brg,step_org_150MR1gbr, cross_entropy_org_150MR1gbr, loss_org_150MR1gbr, train_accuracy_org_150MR1gbr,step_org_150MR1grb, cross_entropy_org_150MR1grb, loss_org_150MR1grb, train_accuracy_org_150MR1grb,step_org_150MR1rbg, cross_entropy_org_150MR1rbg, loss_org_150MR1rbg, train_accuracy_org_150MR1rbg,step_org_150MR1rgb, cross_entropy_org_150MR1rgb, loss_org_150MR1rgb, train_accuracy_org_150MR1rgb
4131,0.0332822,0.350608,0.96875,4131,0.0205427,0.346332,0.981771,4131,0.0134529,0.328747,0.979167,4131,0.0312205,0.349412,0.979167,4131,0.037667,0.357598,0.966146,4131,0.0308135,0.350169,0.979167
4231,0.00716214,0.32337,0.976563,4231,0.0201918,0.344834,0.984375,4231,0.0107833,0.324956,0.984375,4231,0.0123931,0.32948,0.984375,4231,0.0121926,0.330989,0.974609,4231,0.0147567,0.332979,0.984375
4324,0.0160943,0.331238,1.0,4324,0.00884227,0.332391,1.0,4324,0.00904695,0.322161,1.0,4324,0.00928064,0.325318,1.0,4324,0.0201433,0.337868,0.992188,4324,0.0151082,0.332255,0.992188
4424,0.0123045,0.326319,1.0,4424,0.0243576,0.346741,0.996094,4424,0.0323987,0.344385,0.996094,4424,0.0195907,0.334507,1.0,4424,0.0187568,0.33534,0.992188,4424,0.0136297,0.329629,0.996094
4524,0.0124919,0.325371,1.0,4524,0.00960492,0.330822,0.997396,4524,0.00483845,0.315693,0.997396,4524,0.0143182,0.328105,1.0,4524,0.0157894,0.331224,0.992188,4524,0.0141491,0.328997,0.997396
4624,0.00387652,0.31561,1.0,4624,0.00690811,0.326947,0.998047,4624,0.00510286,0.314813,0.998047,4624,0.00568512,0.31833,1.0,4624,0.0059099,0.320184,0.994141,4624,0.00673429,0.320425,0.998047
4717,0.00819331,0.318847,1.0,4717,0.00602465,0.324955,1.0,4717,0.0057841,0.314421,1.0,4717,0.00478117,0.316353,1.0,4717,0.00878755,0.321975,1.0,4717,0.00715331,0.319756,1.0
4817,0.00886199,0.318375,1.0,4817,0.016229,0.333984,0.996094,4817,0.0158377,0.323336,1.0,4817,0.0139003,0.324335,1.0,4817,0.0142251,0.326259,1.0,4817,0.00889147,0.320337,1.0
4917,0.00779756,0.316166,1.0,4917,0.00614557,0.322725,0.997396,4917,0.00335055,0.30971,1.0,4917,0.00984918,0.319142,1.0,4917,0.00837865,0.319255,1.0,4917,0.0089421,0.31923,1.0
5017,0.0028268,0.310046,1.0,5017,0.00451512,0.319913,0.998047,5017,0.00351662,0.308729,1.0,5017,0.00395993,0.312105,1.0,5017,0.0043241,0.314037,1.0,5017,0.00449361,0.313621,1.0
5110,0.00577451,0.311916,1.0,5110,0.00480226,0.319093,1.0,5110,0.00403875,0.308181,1.0,5110,0.0034611,0.310531,1.0,5110,0.00651822,0.315145,1.0,5110,0.00468535,0.312726,1.0
5210,0.00702284,0.312023,1.0,5210,0.0114006,0.324517,1.0,5210,0.0109042,0.31391,1.0,5210,0.010457,0.316388,1.0,5210,0.0107166,0.31819,1.0,5210,0.00669359,0.31358,1.0
5310,0.00558765,0.309447,1.0,5310,0.004586,0.31653,1.0,5310,0.00264886,0.304519,1.0,5310,0.00746599,0.312255,1.0,5310,0.00602316,0.312342,1.0,5310,0.00631705,0.312049,1.0
5410,0.00227985,0.304995,1.0,5410,0.00341443,0.314181,1.0,5410,0.0028253,0.303554,1.0,5410,0.00308925,0.306733,1.0,5410,0.00347198,0.308633,1.0,5410,0.00341768,0.307996,1.0
5503,0.00453503,0.306179,1.0,5503,0.00401398,0.313681,1.0,5503,0.00325309,0.302919,1.0,5503,0.00258866,0.305163,1.0,5503,0.00515257,0.309235,1.0,5503,0.00358627,0.307085,1.0
5603,0.00582536,0.306336,1.0,5603,0.00857668,0.317077,1.0,5603,0.0084975,0.307035,1.0,5603,0.00821538,0.309656,1.0,5603,0.00832839,0.311265,1.0,5603,0.00543875,0.307792,1.0
5703,0.00428734,0.303664,1.0,5703,0.00369114,0.311027,1.0,5703,0.00221774,0.299627,1.0,5703,0.00596074,0.306266,1.0,5703,0.00477784,0.306568,1.0,5703,0.00500872,0.306216,1.0
5803,0.00192761,0.300169,1.0,5803,0.0027652,0.308934,1.0,5803,0.00239764,0.298677,1.0,5803,0.00256009,0.301729,1.0,5803,0.00294171,0.303584,1.0,5803,0.00276523,0.302828,1.0
