step_originalData, cross_entropy_originalData, loss_originalData, train_accuracy_originalData,step_rotate90, cross_entropy_rotate90, loss_rotate90, train_accuracy_rotate90,step_rotate90transpose, cross_entropy_rotate90transpose, loss_rotate90transpose, train_accuracy_rotate90transpose,step_rotate180, cross_entropy_rotate180, loss_rotate180, train_accuracy_rotate180,step_rotate180transpose, cross_entropy_rotate180transpose, loss_rotate180transpose, train_accuracy_rotate180transpose,step_rotate270, cross_entropy_rotate270, loss_rotate270, train_accuracy_rotate270,step_rotate270transpose, cross_entropy_rotate270transpose, loss_rotate270transpose, train_accuracy_rotate270transpose,step_transpose, cross_entropy_transpose, loss_transpose, train_accuracy_transpose
3638,1.56602,1.56602,0.433594,3638,1.80518,1.80518,0.34375,3638,1.61184,1.61184,0.410156,3638,1.54453,1.54453,0.421875,3638,1.76469,1.76469,0.320313,3638,1.80214,1.80214,0.296875,3638,1.53697,1.53697,0.433594,3638,1.86378,1.86378,0.332031
3738,1.45762,1.45762,0.450521,3738,1.87361,1.87361,0.328125,3738,1.49216,1.49216,0.421875,3738,1.56938,1.56938,0.421875,3738,1.86854,1.86854,0.307292,3738,1.85918,1.85918,0.294271,3738,1.62914,1.62914,0.419271,3738,1.84866,1.84866,0.322917
3838,1.62543,1.62543,0.443359,3838,1.85449,1.85449,0.320313,3838,1.55123,1.55123,0.417969,3838,1.65466,1.65466,0.419922,3838,1.89287,1.89287,0.302734,3838,1.82331,1.82331,0.294922,3838,1.76392,1.76392,0.402344,3838,1.82251,1.82251,0.328125
3931,1.43224,1.43224,0.5,3931,1.78054,1.78054,0.320313,3931,1.48472,1.48472,0.5,3931,1.40776,1.40776,0.460938,3931,1.84632,1.84632,0.328125,3931,1.83497,1.83497,0.28125,3931,1.39213,1.39213,0.460938,3931,1.73005,1.73005,0.351563
4031,1.4893,1.4893,0.492188,4031,1.71094,1.71094,0.371094,4031,1.50259,1.50259,0.476563,4031,1.48681,1.48681,0.464844,4031,1.67077,1.67077,0.371094,4031,1.6892,1.6892,0.347656,4031,1.46405,1.46405,0.476563,4031,1.76591,1.76591,0.355469
4131,1.40825,1.40825,0.505208,4131,1.7856,1.7856,0.351563,4131,1.45889,1.45889,0.473958,4131,1.50589,1.50589,0.458333,4131,1.77208,1.77208,0.359375,4131,1.75281,1.75281,0.34375,4131,1.51003,1.51003,0.458333,4131,1.76229,1.76229,0.354167
4231,1.49663,1.49663,0.498047,4231,1.77943,1.77943,0.34375,4231,1.49624,1.49624,0.470703,4231,1.5011,1.5011,0.466797,4231,1.76343,1.76343,0.357422,4231,1.70554,1.70554,0.359375,4231,1.54306,1.54306,0.464844,4231,1.76545,1.76545,0.349609
4324,1.38493,1.38493,0.492188,4324,1.63393,1.63393,0.367188,4324,1.39901,1.39901,0.492188,4324,1.36285,1.36285,0.4375,4324,1.72585,1.72585,0.375,4324,1.72245,1.72245,0.34375,4324,1.33864,1.33864,0.476563,4324,1.64866,1.64866,0.40625
4424,1.4709,1.4709,0.5,4424,1.68748,1.68748,0.390625,4424,1.49025,1.49025,0.472656,4424,1.47445,1.47445,0.457031,4424,1.64694,1.64694,0.402344,4424,1.66872,1.66872,0.382813,4424,1.44581,1.44581,0.492188,4424,1.74877,1.74877,0.375
4524,1.39107,1.39107,0.494792,4524,1.77143,1.77143,0.367188,4524,1.44779,1.44779,0.471354,4524,1.49237,1.49237,0.460938,4524,1.75361,1.75361,0.390625,4524,1.73499,1.73499,0.372396,4524,1.497,1.497,0.473958,4524,1.74662,1.74662,0.361979
4624,1.48236,1.48236,0.494141,4624,1.76479,1.76479,0.357422,4624,1.48625,1.48625,0.470703,4624,1.4912,1.4912,0.46875,4624,1.74939,1.74939,0.382813,4624,1.69019,1.69019,0.380859,4624,1.53791,1.53791,0.478516,4624,1.7531,1.7531,0.355469
4717,1.37347,1.37347,0.507813,4717,1.61812,1.61812,0.367188,4717,1.38542,1.38542,0.492188,4717,1.35073,1.35073,0.429688,4717,1.71289,1.71289,0.382813,4717,1.70851,1.70851,0.351563,4717,1.32396,1.32396,0.476563,4717,1.63083,1.63083,0.40625
4817,1.45837,1.45837,0.507813,4817,1.67171,1.67171,0.394531,4817,1.47743,1.47743,0.46875,4817,1.46436,1.46436,0.453125,4817,1.63283,1.63283,0.40625,4817,1.65507,1.65507,0.386719,4817,1.43552,1.43552,0.492188,4817,1.73598,1.73598,0.375
4917,1.38011,1.38011,0.502604,4917,1.75938,1.75938,0.367188,4917,1.43741,1.43741,0.471354,4917,1.47928,1.47928,0.455729,4917,1.73803,1.73803,0.393229,4917,1.72052,1.72052,0.377604,4917,1.48636,1.48636,0.473958,4917,1.73322,1.73322,0.369792
5017,1.4712,1.4712,0.501953,5017,1.75192,1.75192,0.357422,5017,1.47618,1.47618,0.470703,5017,1.48147,1.48147,0.466797,5017,1.73824,1.73824,0.386719,5017,1.67775,1.67775,0.382813,5017,1.53105,1.53105,0.476563,5017,1.74114,1.74114,0.363281
5110,1.36333,1.36333,0.515625,5110,1.606,1.606,0.375,5110,1.3747,1.3747,0.492188,5110,1.33995,1.33995,0.429688,5110,1.70253,1.70253,0.382813,5110,1.69645,1.69645,0.367188,5110,1.3122,1.3122,0.476563,5110,1.61462,1.61462,0.414063
5210,1.44672,1.44672,0.519531,5210,1.65909,1.65909,0.398438,5210,1.46704,1.46704,0.464844,5210,1.45663,1.45663,0.453125,5210,1.61976,1.61976,0.40625,5210,1.64223,1.64223,0.398438,5210,1.42636,1.42636,0.492188,5210,1.72492,1.72492,0.378906
5310,1.37053,1.37053,0.518229,5310,1.74479,1.74479,0.369792,5310,1.42771,1.42771,0.471354,5310,1.4685,1.4685,0.458333,5310,1.72372,1.72372,0.393229,5310,1.70542,1.70542,0.388021,5310,1.47429,1.47429,0.484375,5310,1.72089,1.72089,0.375
5410,1.46058,1.46058,0.517578,5410,1.74088,1.74088,0.361328,5410,1.46778,1.46778,0.46875,5410,1.47318,1.47318,0.474609,5410,1.72697,1.72697,0.388672,5410,1.66643,1.66643,0.392578,5410,1.52226,1.52226,0.482422,5410,1.7307,1.7307,0.367188
5503,1.35242,1.35242,0.523438,5503,1.59529,1.59529,0.382813,5503,1.36477,1.36477,0.492188,5503,1.32935,1.32935,0.429688,5503,1.69447,1.69447,0.382813,5503,1.6866,1.6866,0.382813,5503,1.30048,1.30048,0.476563,5503,1.60026,1.60026,0.421875
5603,1.43525,1.43525,0.523438,5603,1.6489,1.6489,0.402344,5603,1.4573,1.4573,0.464844,5603,1.44965,1.44965,0.453125,5603,1.60638,1.60638,0.40625,5603,1.6301,1.6301,0.402344,5603,1.41834,1.41834,0.492188,5603,1.71322,1.71322,0.394531
5703,1.36089,1.36089,0.520833,5703,1.73255,1.73255,0.375,5703,1.41843,1.41843,0.471354,5703,1.45843,1.45843,0.455729,5703,1.7094,1.7094,0.390625,5703,1.69139,1.69139,0.393229,5703,1.46501,1.46501,0.489583,5703,1.71048,1.71048,0.393229
5803,1.4509,1.4509,0.521484,5803,1.72971,1.72971,0.365234,5803,1.45947,1.45947,0.470703,5803,1.46541,1.46541,0.472656,5803,1.71657,1.71657,0.386719,5803,1.65638,1.65638,0.396484,5803,1.51361,1.51361,0.488281,5803,1.72051,1.72051,0.380859
