step_originalData, cross_entropy_originalData, loss_originalData, train_accuracy_originalData,step_rotate90, cross_entropy_rotate90, loss_rotate90, train_accuracy_rotate90,step_rotate90transpose, cross_entropy_rotate90transpose, loss_rotate90transpose, train_accuracy_rotate90transpose,step_rotate180, cross_entropy_rotate180, loss_rotate180, train_accuracy_rotate180,step_rotate180transpose, cross_entropy_rotate180transpose, loss_rotate180transpose, train_accuracy_rotate180transpose,step_rotate270, cross_entropy_rotate270, loss_rotate270, train_accuracy_rotate270,step_rotate270transpose, cross_entropy_rotate270transpose, loss_rotate270transpose, train_accuracy_rotate270transpose,step_transpose, cross_entropy_transpose, loss_transpose, train_accuracy_transpose
3052,1.62551,1.90651,0.421875,3052,1.96411,2.24403,0.347656,3052,1.64344,1.92427,0.40625,3052,1.6614,1.94239,0.419922,3052,1.76875,2.04892,0.398438,3052,1.76308,2.04327,0.386719,3052,1.57459,1.85562,0.482422,3052,1.80148,2.08147,0.361328
3145,1.58377,1.86469,0.453125,3145,2.01608,2.29586,0.359375,3145,1.63892,1.91967,0.460938,3145,1.63601,1.91692,0.429688,3145,1.76424,2.04428,0.398438,3145,1.76594,2.04602,0.375,3145,1.47421,1.75517,0.515625,3145,1.82078,2.10065,0.367188
3245,1.61303,1.89385,0.433594,3245,1.84133,2.12097,0.402344,3245,1.65217,1.93281,0.441406,3245,1.63236,1.91317,0.441406,3245,1.72841,2.00833,0.417969,3245,1.78794,2.06788,0.386719,3245,1.52004,1.80093,0.496094,3245,1.85261,2.13235,0.386719
3345,1.66547,1.94621,0.432292,3345,1.81227,2.0918,0.377604,3345,1.69118,1.97173,0.434896,3345,1.69847,1.9792,0.4375,3345,1.73872,2.01851,0.421875,3345,1.75827,2.0381,0.388021,3345,1.54402,1.82484,0.486979,3345,1.80678,2.08641,0.377604
3445,1.59308,1.87371,0.441406,3445,1.78429,2.0637,0.378906,3445,1.59336,1.87381,0.441406,3445,1.61204,1.89267,0.441406,3445,1.70629,1.98594,0.433594,3445,1.71359,1.99329,0.410156,3445,1.52423,1.80497,0.498047,3445,1.75264,2.03213,0.392578
3538,1.55677,1.83732,0.421875,3538,1.80436,2.08366,0.351563,3538,1.59274,1.87312,0.476563,3538,1.59399,1.87455,0.4375,3538,1.75651,2.03606,0.390625,3538,1.75734,2.03694,0.367188,3538,1.39995,1.68064,0.515625,3538,1.79883,2.07822,0.375
3638,1.56523,1.84568,0.425781,3638,1.78109,2.06027,0.386719,3638,1.61402,1.8943,0.445313,3638,1.5634,1.84387,0.445313,3638,1.64704,1.92646,0.429688,3638,1.69663,1.9761,0.394531,3638,1.46696,1.74759,0.496094,3638,1.76632,2.04559,0.378906
3738,1.61363,1.894,0.427083,3738,1.75858,2.03764,0.401042,3738,1.62006,1.90025,0.450521,3738,1.56218,1.84259,0.442708,3738,1.71627,1.99557,0.429688,3738,1.72554,2.0049,0.395833,3738,1.48216,1.76272,0.492188,3738,1.75999,2.03915,0.375
3838,1.56992,1.85018,0.445313,3838,1.71726,1.99621,0.416016,3838,1.56346,1.84355,0.462891,3838,1.53891,1.81922,0.455078,3838,1.69318,1.97237,0.4375,3838,1.68779,1.96704,0.417969,3838,1.45797,1.73847,0.501953,3838,1.7106,1.98964,0.398438
3931,1.5272,1.80739,0.4375,3931,1.77451,2.05335,0.390625,3931,1.55285,1.83286,0.5,3931,1.35805,1.63831,0.539063,3931,1.70661,1.98569,0.445313,3931,1.71198,1.99114,0.398438,3931,1.342,1.62246,0.53125,3931,1.73046,2.0094,0.40625
