step_org_150MR1bgr, cross_entropy_org_150MR1bgr, loss_org_150MR1bgr, train_accuracy_org_150MR1bgr,step_org_150MR1brg, cross_entropy_org_150MR1brg, loss_org_150MR1brg, train_accuracy_org_150MR1brg,step_org_150MR1grb, cross_entropy_org_150MR1grb, loss_org_150MR1grb, train_accuracy_org_150MR1grb,step_org_150MR1gbr, cross_entropy_org_150MR1gbr, loss_org_150MR1gbr, train_accuracy_org_150MR1gbr,step_org_150MR1rbg, cross_entropy_org_150MR1rbg, loss_org_150MR1rbg, train_accuracy_org_150MR1rbg,step_org_150MR1rgb, cross_entropy_org_150MR1rgb, loss_org_150MR1rgb, train_accuracy_org_150MR1rgb
3388,0.00276164,0.214987,1.0,3388,0.00242468,0.213978,1.0,3388,0.0026727,0.213781,1.0,3388,0.00329629,0.215695,1.0,3388,0.00263686,0.215068,1.0,3388,0.00240366,0.213589,1.0
3431,0.00215041,0.214048,1.0,3431,0.00224903,0.213474,1.0,3431,0.00177177,0.212553,1.0,3431,0.00217435,0.214244,1.0,3431,0.00237914,0.214482,1.0,3431,0.00188815,0.212746,1.0
3531,0.00284717,0.214666,1.0,3531,0.00237496,0.213522,1.0,3531,0.00305043,0.213754,1.0,3531,0.00218318,0.214174,1.0,3531,0.00309942,0.215124,1.0,3531,0.00244253,0.213223,1.0
3631,0.00182438,0.213565,1.0,3631,0.00207008,0.213139,1.0,3631,0.00199932,0.212626,1.0,3631,0.00209959,0.214012,1.0,3631,0.00160922,0.213556,1.0,3631,0.00193432,0.212637,1.0
3731,0.00244921,0.214112,1.0,3731,0.00225707,0.213249,1.0,3731,0.00243132,0.21298,1.0,3731,0.00280505,0.21464,1.0,3731,0.0024297,0.214298,1.0,3731,0.0023025,0.212927,1.0
3774,0.00212086,0.21375,1.0,3774,0.00207843,0.213036,1.0,3774,0.00173855,0.212254,1.0,3774,0.0020984,0.213899,1.0,3774,0.00234441,0.214179,1.0,3774,0.00189946,0.212491,1.0
3874,0.0026327,0.214184,1.0,3874,0.00225315,0.213133,1.0,3874,0.0028847,0.213322,1.0,3874,0.0020705,0.213793,1.0,3874,0.002795,0.214551,1.0,3874,0.00231758,0.212831,1.0
3974,0.00184317,0.213316,1.0,3974,0.00205053,0.212853,1.0,3974,0.00196402,0.212324,1.0,3974,0.00207878,0.213723,1.0,3974,0.00161616,0.213294,1.0,3974,0.0019313,0.212367,1.0
4074,0.00245242,0.213847,1.0,4074,0.00223695,0.212961,1.0,4074,0.0024149,0.212698,1.0,4074,0.00279151,0.214357,1.0,4074,0.0024004,0.214,1.0,4074,0.00228208,0.21264,1.0
4117,0.00209855,0.21346,1.0,4117,0.00203503,0.212726,1.0,4117,0.00172894,0.211978,1.0,4117,0.00205565,0.213588,1.0,4117,0.00232062,0.213887,1.0,4117,0.00189038,0.212215,1.0
