step_originalData, cross_entropy_originalData, loss_originalData, train_accuracy_originalData,step_rotate180, cross_entropy_rotate180, loss_rotate180, train_accuracy_rotate180,step_rotate180transpose, cross_entropy_rotate180transpose, loss_rotate180transpose, train_accuracy_rotate180transpose,step_rotate270, cross_entropy_rotate270, loss_rotate270, train_accuracy_rotate270,step_rotate270transpose, cross_entropy_rotate270transpose, loss_rotate270transpose, train_accuracy_rotate270transpose,step_rotate90, cross_entropy_rotate90, loss_rotate90, train_accuracy_rotate90,step_rotate90transpose, cross_entropy_rotate90transpose, loss_rotate90transpose, train_accuracy_rotate90transpose,step_transpose, cross_entropy_transpose, loss_transpose, train_accuracy_transpose
3145,0.113599,0.113599,0.960938,3145,0.124254,0.124254,0.984375,3145,0.100546,0.100546,0.976563,3145,0.21669,0.21669,0.921875,3145,0.103661,0.103661,0.984375,3145,0.233064,0.233064,0.929688,3145,0.100381,0.100381,0.96875,3145,0.235465,0.235465,0.921875
3245,0.110254,0.110254,0.964844,3245,0.124839,0.124839,0.96875,3245,0.192147,0.192147,0.957031,3245,0.206468,0.206468,0.917969,3245,0.216306,0.216306,0.957031,3245,0.221514,0.221514,0.925781,3245,0.102078,0.102078,0.960938,3245,0.175838,0.175838,0.929688
3345,0.0981244,0.0981244,0.963542,3345,0.080593,0.0805931,0.966146,3345,0.215663,0.215663,0.950521,3345,0.205045,0.205045,0.921875,3345,0.0828223,0.0828223,0.963542,3345,0.211227,0.211227,0.927083,3345,0.101272,0.101272,0.958333,3345,0.203321,0.203322,0.929688
3445,0.148499,0.148499,0.955078,3445,0.0837923,0.0837924,0.966797,3445,0.121461,0.121461,0.955078,3445,0.255236,0.255237,0.921875,3445,0.102361,0.102361,0.960938,3445,0.170608,0.170608,0.929688,3445,0.0594359,0.0594359,0.964844,3445,0.146888,0.146888,0.941406
3538,0.169852,0.169852,0.9375,3538,0.0815119,0.0815119,0.96875,3538,0.111838,0.111839,0.976563,3538,0.168685,0.168685,0.914063,3538,0.0164355,0.0164356,0.992188,3538,0.177013,0.177013,0.914063,3538,0.046195,0.046195,0.984375,3538,0.11217,0.11217,0.953125
3638,0.151215,0.151215,0.933594,3638,0.0502335,0.0502335,0.976563,3638,0.177002,0.177002,0.960938,3638,0.180761,0.180761,0.921875,3638,0.0873182,0.0873183,0.984375,3638,0.196728,0.196728,0.933594,3638,0.153298,0.153298,0.964844,3638,0.254441,0.254441,0.9375
3738,0.0776919,0.0776919,0.947917,3738,0.084302,0.0843021,0.971354,3738,0.178619,0.178619,0.958333,3738,0.13403,0.13403,0.929688,3738,0.0491361,0.0491362,0.981771,3738,0.107452,0.107452,0.945313,3738,0.170067,0.170067,0.958333,3738,0.263708,0.263708,0.927083
3838,0.0909587,0.0909588,0.957031,3838,0.0735815,0.0735815,0.970703,3838,0.194938,0.194938,0.947266,3838,0.204661,0.204661,0.935547,3838,0.026145,0.026145,0.984375,3838,0.136178,0.136178,0.947266,3838,0.051742,0.0517421,0.960938,3838,0.266981,0.266981,0.919922
3931,0.0326597,0.0326598,0.992188,3931,0.0437222,0.0437223,0.976563,3931,0.0867542,0.0867543,0.96875,3931,0.0958022,0.0958022,0.960938,3931,0.0685379,0.068538,0.984375,3931,0.103853,0.103853,0.953125,3931,0.0518444,0.0518445,0.984375,3931,0.0890188,0.0890189,0.960938
4031,0.0159934,0.0159935,0.992188,4031,0.00681893,0.006819,0.988281,4031,0.0642,0.0642001,0.976563,4031,0.012833,0.0128331,0.980469,4031,0.0254085,0.0254086,0.988281,4031,0.0218253,0.0218253,0.976563,4031,0.0204694,0.0204694,0.988281,4031,0.0817327,0.0817328,0.96875
4131,0.0164972,0.0164972,0.992188,4131,0.0150993,0.0150994,0.989583,4131,0.0528274,0.0528275,0.976563,4131,0.0679778,0.0679778,0.976563,4131,0.00345788,0.00345795,0.992188,4131,0.022358,0.022358,0.981771,4131,0.011914,0.0119141,0.992188,4131,0.0474369,0.0474369,0.971354
4231,0.00805063,0.00805069,0.994141,4231,0.013106,0.013106,0.990234,4231,0.015588,0.0155881,0.982422,4231,0.0144591,0.0144591,0.982422,4231,0.00794083,0.00794089,0.992188,4231,0.0202168,0.0202169,0.984375,4231,0.00223205,0.00223211,0.994141,4231,0.0311726,0.0311727,0.974609
4324,0.00899596,0.00899602,1.0,4324,0.0239435,0.0239436,0.992188,4324,0.0199221,0.0199221,0.992188,4324,0.0266315,0.0266316,0.992188,4324,0.00301719,0.00301725,1.0,4324,0.0470249,0.047025,0.984375,4324,0.00450833,0.00450839,1.0,4324,0.0369042,0.0369043,0.992188
4424,0.00589861,0.00589867,1.0,4424,0.00237427,0.00237433,0.996094,4424,0.0287347,0.0287348,0.992188,4424,0.00600093,0.00600098,0.996094,4424,0.00495524,0.0049553,1.0,4424,0.0102055,0.0102056,0.992188,4424,0.00633377,0.00633383,1.0,4424,0.0207985,0.0207986,0.988281
4524,0.00698656,0.00698663,1.0,4524,0.0048479,0.00484796,0.997396,4524,0.0185256,0.0185257,0.994792,4524,0.0200292,0.0200293,0.997396,4524,0.00181182,0.00181188,1.0,4524,0.00744948,0.00744954,0.994792,4524,0.00446376,0.00446382,1.0,4524,0.0155345,0.0155346,0.992188
4624,0.00384664,0.0038467,1.0,4624,0.00457148,0.00457154,0.998047,4624,0.00691742,0.00691748,0.996094,4624,0.00886694,0.008867,0.998047,4624,0.00471423,0.00471429,1.0,4624,0.00941282,0.00941288,0.996094,4624,0.00184479,0.00184485,1.0,4624,0.0178226,0.0178226,0.992188
4717,0.00372555,0.00372562,1.0,4717,0.00680524,0.00680531,1.0,4717,0.00890664,0.0089067,1.0,4717,0.0125986,0.0125987,1.0,4717,0.00198101,0.00198107,1.0,4717,0.024866,0.0248661,0.984375,4717,0.00302613,0.00302619,1.0,4717,0.0156059,0.0156059,1.0
4817,0.00335647,0.00335653,1.0,4817,0.00186941,0.00186947,1.0,4817,0.0183564,0.0183564,1.0,4817,0.00433735,0.00433741,1.0,4817,0.00325437,0.00325443,1.0,4817,0.00752758,0.00752764,0.992188,4817,0.00359698,0.00359704,1.0,4817,0.00936355,0.00936361,1.0
4917,0.0047504,0.00475046,1.0,4917,0.00326607,0.00326613,1.0,4917,0.012425,0.0124251,1.0,4917,0.0111794,0.0111795,1.0,4917,0.00155266,0.00155272,1.0,4917,0.00548612,0.00548618,0.994792,4917,0.00340801,0.00340807,1.0,4917,0.00936482,0.00936488,1.0
5017,0.00293699,0.00293705,1.0,5017,0.0032002,0.00320026,1.0,5017,0.00441557,0.00441563,1.0,5017,0.00652171,0.00652177,1.0,5017,0.00330611,0.00330618,1.0,5017,0.00626872,0.00626877,0.996094,5017,0.00149203,0.00149209,1.0,5017,0.0123298,0.0123298,1.0
5110,0.00280507,0.00280514,1.0,5110,0.00499392,0.00499398,1.0,5110,0.00652307,0.00652312,1.0,5110,0.00810511,0.00810517,1.0,5110,0.00155402,0.00155409,1.0,5110,0.0119563,0.0119564,1.0,5110,0.00235448,0.00235454,1.0,5110,0.0100759,0.010076,1.0
5210,0.00250861,0.00250867,1.0,5210,0.00155491,0.00155498,1.0,5210,0.0125534,0.0125534,1.0,5210,0.00342511,0.00342516,1.0,5210,0.00231888,0.00231895,1.0,5210,0.00589369,0.00589374,1.0,5210,0.00259289,0.00259296,1.0,5210,0.00634185,0.00634191,1.0
5310,0.00366354,0.0036636,1.0,5310,0.00255842,0.00255849,1.0,5310,0.00946021,0.00946027,1.0,5310,0.00799231,0.00799236,1.0,5310,0.00137592,0.00137598,1.0,5310,0.00436593,0.00436599,1.0,5310,0.00274331,0.00274337,1.0,5310,0.00675107,0.00675112,1.0
5410,0.00244213,0.00244219,1.0,5410,0.00254101,0.00254108,1.0,5410,0.00330203,0.00330209,1.0,5410,0.00516316,0.00516322,1.0,5410,0.00260189,0.00260195,1.0,5410,0.00467692,0.00467697,1.0,5410,0.00123859,0.00123866,1.0,5410,0.009008,0.00900806,1.0
5503,0.00233834,0.00233841,1.0,5503,0.00396028,0.00396035,1.0,5503,0.00509033,0.00509039,1.0,5503,0.0061555,0.00615556,1.0,5503,0.0012941,0.00129417,1.0,5503,0.0076181,0.00761816,1.0,5503,0.00192582,0.00192588,1.0,5503,0.00808508,0.00808514,1.0
5603,0.0020119,0.00201196,1.0,5603,0.00132787,0.00132793,1.0,5603,0.0093345,0.00933456,1.0,5603,0.0027325,0.00273256,1.0,5603,0.00182318,0.00182324,1.0,5603,0.00483121,0.00483126,1.0,5603,0.00204467,0.00204474,1.0,5603,0.0048688,0.00486886,1.0
5703,0.0030123,0.00301236,1.0,5703,0.00212839,0.00212845,1.0,5703,0.00760493,0.00760499,1.0,5703,0.00611245,0.00611251,1.0,5703,0.00124781,0.00124787,1.0,5703,0.00364075,0.00364081,1.0,5703,0.00231324,0.0023133,1.0,5703,0.00528889,0.00528895,1.0
5803,0.00210135,0.00210141,1.0,5803,0.00214208,0.00214214,1.0,5803,0.00265262,0.00265268,1.0,5803,0.00427212,0.00427218,1.0,5803,0.00215942,0.00215948,1.0,5803,0.00377485,0.00377491,1.0,5803,0.00106147,0.00106153,1.0,5803,0.00689448,0.00689454,1.0
